time,x,y
0.574,343.352,357.124
0.575,343.358,357.139
0.576,343.364,357.154
0.577,343.370,357.168
0.578,343.376,357.183
0.579,343.381,357.198
0.580,343.387,357.213
0.581,343.393,357.228
0.582,343.399,357.243
0.583,343.405,357.258
0.584,343.411,357.272
0.585,343.416,357.287
0.586,343.422,357.302
0.587,343.428,357.317
0.588,343.434,357.332
0.589,343.440,357.347
0.590,343.446,357.362
0.591,343.451,357.376
0.592,343.457,357.391
0.593,343.463,357.406
0.594,343.469,357.421
0.595,343.475,357.436
0.596,343.481,357.451
0.597,343.486,357.465
0.598,343.492,357.480
0.599,343.498,357.495
0.600,343.504,357.510
0.601,343.510,357.525
0.602,343.516,357.540
0.603,343.522,357.555
0.604,343.527,357.569
0.605,343.533,357.584
0.606,343.539,357.599
0.607,343.545,357.614
0.608,343.551,357.629
0.609,343.557,357.644
0.610,343.562,357.659
0.611,343.568,357.673
0.612,343.574,357.688
0.613,343.580,357.703
0.614,343.586,357.718
0.615,343.592,357.733
0.616,343.597,357.748
0.617,343.603,357.762
0.618,343.609,357.777
0.619,343.615,357.792
0.620,343.621,357.807
0.621,343.627,357.822
0.622,343.632,357.837
0.623,343.638,357.852
0.624,343.644,357.866
0.625,343.650,357.881
0.626,343.656,357.896
0.627,343.662,357.911
0.628,343.668,357.926
0.629,343.673,357.941
0.630,343.679,357.956
0.631,343.685,357.970
0.632,343.691,357.985
0.633,343.697,358.000
0.634,343.703,358.015
0.635,343.708,358.030
0.636,343.714,358.045
0.637,343.720,358.059
0.638,343.726,358.074
0.639,343.732,358.089
0.640,343.738,358.104
0.641,343.743,358.119
0.642,343.749,358.134
0.643,343.755,358.149
0.644,343.761,358.163
0.645,343.767,358.178
0.646,343.773,358.193
0.647,343.778,358.208
0.648,343.784,358.223
0.649,343.790,358.238
0.650,343.796,358.253
0.651,343.802,358.267
0.652,343.808,358.282
0.653,343.814,358.297
0.654,343.819,358.312
0.655,343.825,358.327
0.656,343.831,358.342
0.657,343.837,358.356
0.658,343.843,358.371
0.659,343.849,358.386
0.660,343.854,358.401
0.661,343.860,358.416
0.662,343.866,358.431
0.663,343.872,358.446
0.664,343.878,358.460
0.665,343.884,358.475
0.666,343.889,358.490
0.667,343.895,358.505
0.668,343.901,358.520
0.669,343.907,358.535
0.670,343.913,358.550
0.671,343.919,358.564
0.672,343.924,358.579
0.673,343.930,358.594
0.674,343.936,358.609
0.675,343.942,358.624
0.676,343.948,358.639
0.677,343.954,358.653
0.678,343.960,358.668
0.679,343.965,358.683
0.680,343.971,358.698
0.681,343.977,358.713
0.682,343.983,358.728
0.683,343.989,358.743
0.684,343.995,358.757
0.685,344.000,358.772
0.686,344.006,358.787
0.687,344.012,358.802
0.688,344.018,358.817
0.689,344.024,358.832
0.690,344.030,358.847
0.691,344.035,358.861
0.692,344.041,358.876
0.693,344.047,358.891
0.694,344.053,358.906
0.695,344.059,358.921
0.696,344.065,358.936
0.697,344.070,358.950
0.698,344.076,358.965
0.699,344.082,358.980
0.700,344.088,358.995
0.701,344.094,359.010
0.702,344.100,359.025
0.703,344.106,359.040
0.704,344.111,359.054
0.705,344.117,359.069
0.706,344.123,359.084
0.707,344.129,359.099
0.708,344.135,359.114
0.709,344.141,359.129
0.710,344.146,359.144
0.711,344.152,359.158
0.712,344.158,359.173
0.713,344.164,359.188
0.714,344.170,359.203
0.715,344.176,359.218
0.716,344.181,359.233
0.717,344.187,359.247
0.718,344.193,359.262
0.719,344.199,359.277
0.720,344.205,359.292
0.721,344.211,359.307
0.722,344.216,359.322
0.723,344.222,359.337
0.724,344.228,359.351
0.725,344.234,359.366
0.726,344.240,359.381
0.727,344.246,359.396
0.728,344.252,359.411
0.729,344.257,359.426
0.730,344.263,359.441
0.731,344.269,359.455
0.732,344.275,359.470
0.733,344.281,359.485
0.734,344.287,359.500
0.735,344.292,359.515
0.736,344.298,359.530
0.737,344.304,359.544
0.738,344.310,359.559
0.739,344.316,359.574
0.740,344.322,359.589
0.741,344.327,359.604
0.742,344.333,359.619
0.743,344.339,359.634
0.744,344.345,359.648
0.745,344.351,359.663
0.746,344.357,359.678
0.747,344.362,359.693
0.748,344.368,359.708
0.749,344.374,359.723
0.750,344.380,359.738
0.751,344.386,359.752
0.752,344.392,359.767
0.753,344.398,359.782
0.754,344.403,359.797
0.755,344.409,359.812
0.756,344.415,359.827
0.757,344.421,359.841
0.758,344.427,359.856
0.759,344.433,359.871
0.760,344.438,359.886
0.761,344.444,359.901
0.762,344.450,359.916
0.763,344.456,359.931
0.764,344.462,359.945
0.765,344.468,359.960
0.766,344.473,359.975
0.767,344.479,359.990
0.768,344.485,360.005
0.769,344.491,360.020
0.770,344.497,360.035
0.771,344.503,360.049
0.772,344.508,360.064
0.773,344.514,360.079
0.774,344.520,360.094
0.775,344.526,360.109
0.776,344.532,360.124
0.777,344.538,360.138
0.778,344.544,360.153
0.779,344.549,360.168
0.780,344.555,360.183
0.781,344.561,360.198
0.782,344.567,360.213
0.783,344.573,360.228
0.784,344.579,360.242
0.785,344.584,360.257
0.786,344.590,360.272
0.787,344.596,360.287
0.788,344.602,360.302
0.789,344.608,360.317
0.790,344.614,360.332
0.791,344.619,360.346
0.792,344.625,360.361
0.793,344.631,360.376
0.794,344.637,360.391
0.795,344.643,360.406
0.796,344.649,360.421
0.797,344.654,360.435
0.798,344.660,360.450
0.799,344.666,360.465
0.800,344.672,360.480
0.801,344.678,360.495
0.802,344.684,360.510
0.803,344.690,360.525
0.804,344.695,360.539
0.805,344.701,360.554
0.806,344.707,360.569
0.807,344.713,360.584
0.808,344.719,360.599
0.809,344.725,360.614
0.810,344.730,360.629
0.811,344.736,360.643
0.812,344.742,360.658
0.813,344.748,360.673
0.814,344.754,360.688
0.815,344.760,360.703
0.816,344.765,360.718
0.817,344.771,360.732
0.818,344.777,360.747
0.819,344.783,360.762
0.820,344.789,360.777
0.821,344.795,360.792
0.822,344.800,360.807
0.823,344.806,360.822
0.824,344.812,360.836
0.825,344.818,360.851
0.826,344.824,360.866
0.827,344.830,360.881
0.828,344.836,360.896
0.829,344.841,360.911
0.830,344.847,360.926
0.831,344.853,360.940
0.832,344.859,360.955
0.833,344.865,360.970
0.834,344.871,360.985
0.835,344.876,361.000
0.836,344.882,361.015
0.837,344.888,361.029
0.838,344.894,361.044
0.839,344.900,361.059
0.840,344.906,361.074
0.841,344.911,361.089
