time,imsi,cellId,isServingCell?,RSRP(dBm),RSRQ(dB)
0.251,2,6,0,-82.335,-36.351
0.251,2,7,0,-51.238,-5.254
0.251,2,8,0,-79.919,-33.935
0.251,2,9,0,-79.465,-33.481
0.256,1,1,1,-60.473,-10.365
0.256,1,2,0,-89.732,-39.624
0.256,1,3,0,-89.732,-39.624
0.256,1,4,0,-56.619,-6.511
0.256,1,5,0,-72.662,-22.554
0.256,1,6,0,-82.743,-32.635
0.256,1,7,0,-57.607,-7.499
0.256,1,8,0,-86.467,-36.359
0.256,1,9,0,-85.109,-35.001
0.256,2,1,1,-60.563,-14.579
0.256,2,2,0,-74.772,-28.788
0.256,2,3,0,-86.163,-40.179
0.256,2,4,0,-79.646,-33.662
0.256,2,5,0,-53.838,-7.854
0.256,2,6,0,-82.334,-36.350
0.256,2,7,0,-51.237,-5.253
0.256,2,8,0,-79.919,-33.935
0.256,2,9,0,-79.464,-33.480
0.261,1,1,1,-60.474,-10.365
0.261,1,2,0,-89.734,-39.624
0.261,1,3,0,-89.734,-39.624
0.261,1,4,0,-56.622,-6.512
0.261,1,5,0,-72.664,-22.555
0.261,1,6,0,-82.746,-32.636
0.261,1,7,0,-57.607,-7.497
0.261,1,8,0,-86.468,-36.358
0.261,1,9,0,-85.117,-35.007
0.261,2,1,1,-60.561,-14.578
0.261,2,2,0,-74.778,-28.794
0.261,2,3,0,-86.164,-40.180
0.261,2,4,0,-79.636,-33.652
0.261,2,5,0,-53.839,-7.855
0.261,2,6,0,-82.333,-36.349
0.261,2,7,0,-51.237,-5.253
0.261,2,8,0,-79.918,-33.935
0.261,2,9,0,-79.463,-33.479
0.266,1,1,1,-60.476,-10.365
0.266,1,2,0,-89.735,-39.624
0.266,1,3,0,-89.735,-39.624
0.266,1,4,0,-56.625,-6.514
0.266,1,5,0,-72.667,-22.555
0.266,1,6,0,-82.749,-32.637
0.266,1,7,0,-57.607,-7.495
0.266,1,8,0,-86.469,-36.358
0.266,1,9,0,-85.124,-35.013
0.266,2,1,1,-60.560,-14.576
0.266,2,2,0,-74.783,-28.799
0.266,2,3,0,-86.165,-40.181
0.266,2,4,0,-79.627,-33.643
0.266,2,5,0,-53.840,-7.856
