time,bytesRx,mac_address
2.883,536,04-07-07:00:00:03:a0:0f:00
2.884,536,04-07-07:00:00:03:a0:0f:00
2.886,536,04-07-07:00:00:03:a0:0f:00
2.887,536,04-07-07:00:00:03:a0:0f:00
2.888,536,04-07-07:00:00:03:a0:0f:00
2.890,536,04-07-07:00:00:03:a0:0f:00
2.891,536,04-07-07:00:00:03:a0:0f:00
2.893,536,04-07-07:00:00:03:a0:0f:00
2.894,536,04-07-07:00:00:03:a0:0f:00
2.895,536,04-07-07:00:00:03:a0:0f:00
2.897,536,04-07-07:00:00:03:a0:0f:00
2.898,536,04-07-07:00:00:03:a0:0f:00
2.900,536,04-07-07:00:00:03:a0:0f:00
2.901,536,04-07-07:00:00:03:a0:0f:00
2.903,536,04-07-07:00:00:03:a0:0f:00
2.904,536,04-07-07:00:00:03:a0:0f:00
2.905,536,04-07-07:00:00:03:a0:0f:00
2.907,536,04-07-07:00:00:03:a0:0f:00
2.908,536,04-07-07:00:00:03:a0:0f:00
2.910,536,04-07-07:00:00:03:a0:0f:00
2.911,536,04-07-07:00:00:03:a0:0f:00
2.912,536,04-07-07:00:00:03:a0:0f:00
2.914,536,04-07-07:00:00:03:a0:0f:00
2.915,536,04-07-07:00:00:03:a0:0f:00
2.917,536,04-07-07:00:00:03:a0:0f:00
2.918,536,04-07-07:00:00:03:a0:0f:00
2.919,536,04-07-07:00:00:03:a0:0f:00
2.921,536,04-07-07:00:00:03:a0:0f:00
2.922,536,04-07-07:00:00:03:a0:0f:00
2.924,536,04-07-07:00:00:03:a0:0f:00
2.925,536,04-07-07:00:00:03:a0:0f:00
2.927,536,04-07-07:00:00:03:a0:0f:00
2.928,536,04-07-07:00:00:03:a0:0f:00
2.929,536,04-07-07:00:00:03:a0:0f:00
2.931,536,04-07-07:00:00:03:a0:0f:00
2.932,536,04-07-07:00:00:03:a0:0f:00
2.934,536,04-07-07:00:00:03:a0:0f:00
2.935,536,04-07-07:00:00:03:a0:0f:00
2.936,536,04-07-07:00:00:03:a0:0f:00
2.938,536,04-07-07:00:00:03:a0:0f:00
2.939,536,04-07-07:00:00:03:a0:0f:00
2.941,536,04-07-07:00:00:03:a0:0f:00
2.999,21976,04-07-07:00:00:03:a0:0f:00
3.000,536,04-07-07:00:00:03:a0:0f:00
3.001,536,04-07-07:00:00:03:a0:0f:00
3.003,536,04-07-07:00:00:03:a0:0f:00
3.004,536,04-07-07:00:00:03:a0:0f:00
3.006,536,04-07-07:00:00:03:a0:0f:00
3.007,536,04-07-07:00:00:03:a0:0f:00
3.008,536,04-07-07:00:00:03:a0:0f:00
3.010,536,04-07-07:00:00:03:a0:0f:00
3.012,536,04-07-07:00:00:03:a0:0f:00
3.016,536,04-07-07:00:00:03:a0:0f:00
3.018,536,04-07-07:00:00:03:a0:0f:00
3.020,536,04-07-07:00:00:03:a0:0f:00
3.026,536,04-07-07:00:00:03:a0:0f:00
3.030,536,04-07-07:00:00:03:a0:0f:00
3.031,536,04-07-07:00:00:03:a0:0f:00
3.033,536,04-07-07:00:00:03:a0:0f:00
3.034,536,04-07-07:00:00:03:a0:0f:00
3.036,536,04-07-07:00:00:03:a0:0f:00
3.038,536,04-07-07:00:00:03:a0:0f:00
3.039,536,04-07-07:00:00:03:a0:0f:00
3.041,536,04-07-07:00:00:03:a0:0f:00
3.042,536,04-07-07:00:00:03:a0:0f:00
3.044,536,04-07-07:00:00:03:a0:0f:00
3.045,536,04-07-07:00:00:03:a0:0f:00
3.048,536,04-07-07:00:00:03:a0:0f:00
3.049,536,04-07-07:00:00:03:a0:0f:00
3.051,536,04-07-07:00:00:03:a0:0f:00
3.052,536,04-07-07:00:00:03:a0:0f:00
3.054,536,04-07-07:00:00:03:a0:0f:00
3.055,536,04-07-07:00:00:03:a0:0f:00
3.066,536,04-07-07:00:00:03:a0:0f:00
3.067,536,04-07-07:00:00:03:a0:0f:00
3.069,536,04-07-07:00:00:03:a0:0f:00
3.070,536,04-07-07:00:00:03:a0:0f:00
3.072,536,04-07-07:00:00:03:a0:0f:00
3.073,536,04-07-07:00:00:03:a0:0f:00
3.074,536,04-07-07:00:00:03:a0:0f:00
3.076,536,04-07-07:00:00:03:a0:0f:00
3.077,536,04-07-07:00:00:03:a0:0f:00
3.079,536,04-07-07:00:00:03:a0:0f:00
3.080,536,04-07-07:00:00:03:a0:0f:00
3.082,536,04-07-07:00:00:03:a0:0f:00
3.083,536,04-07-07:00:00:03:a0:0f:00
3.085,536,04-07-07:00:00:03:a0:0f:00
3.086,536,04-07-07:00:00:03:a0:0f:00
3.088,536,04-07-07:00:00:03:a0:0f:00
3.089,536,04-07-07:00:00:03:a0:0f:00
3.092,536,04-07-07:00:00:03:a0:0f:00
3.093,536,04-07-07:00:00:03:a0:0f:00
3.110,536,04-07-07:00:00:03:a0:0f:00
3.111,536,04-07-07:00:00:03:a0:0f:00
3.113,536,04-07-07:00:00:03:a0:0f:00
3.114,536,04-07-07:00:00:03:a0:0f:00
3.116,536,04-07-07:00:00:03:a0:0f:00
3.117,536,04-07-07:00:00:03:a0:0f:00
3.118,536,04-07-07:00:00:03:a0:0f:00
3.120,536,04-07-07:00:00:03:a0:0f:00
3.121,536,04-07-07:00:00:03:a0:0f:00
3.123,536,04-07-07:00:00:03:a0:0f:00
3.124,536,04-07-07:00:00:03:a0:0f:00
3.125,536,04-07-07:00:00:03:a0:0f:00
3.127,536,04-07-07:00:00:03:a0:0f:00
3.128,536,04-07-07:00:00:03:a0:0f:00
3.130,536,04-07-07:00:00:03:a0:0f:00
3.131,536,04-07-07:00:00:03:a0:0f:00
3.249,536,04-07-07:00:00:03:a0:0f:00
